Country,LE_2000,LE_2010,LE_2015,LE_2019
Afghanistan,46.76,51.13,52.6,53.95
Albania,65.24,67.57,69.03,69.08
Algeria,62.71,65.53,65.99,66.39
Angola,42.87,50.57,53.66,54.84
Antigua and Barbuda,65.53,66.7,66.81,66.97
Argentina,65.14,66.3,66.86,67.13
Armenia,63.5,64.84,66,67.12
Australia,68.57,70.17,70.56,70.93
Austria,68.18,69.92,70.39,70.94
Azerbaijan,58.5,61.71,63.09,63.65
Bahamas,62.69,64.31,64.17,64.35
Bahrain,61.88,65.04,66.24,65.88
Bangladesh,57.05,61.22,63.76,64.3
Barbados,65.96,67,67.21,66.99
Belarus,60.82,62.26,65.06,65.97
Belgium,67.84,69.21,69.99,70.56
Belize,62.29,64.57,65.06,65.29
Benin,49.59,53,54.29,55.52
Bhutan,57.06,61.67,62.6,63.36
Bolivia,57.89,61.72,62.73,63.27
Bosnia and Herzegovina,66.17,66.98,66.97,67.19
Botswana,40.08,50.56,52.78,53.89
Brazil,61.66,63.95,64.7,65.4
Brunei Darussalam,63.89,65.76,65.71,65.65
Bulgaria,63.54,65.2,65.91,66.28
Burkina Faso,44.88,51.2,53.35,54.86
Burundi,38.13,50.88,53.96,55.58
Cabo Verde,61.98,64.53,65.25,64.8
Cambodia,51.39,59.01,60.75,61.51
Cameroon,46.05,49.57,51.78,54.52
Canada,69.42,70.84,71.15,71.25
Central African Rep.,38.69,42.45,44.16,46.37
Chad,44.7,48.55,50.53,52.02
Chile,67,68.46,69.44,70.05
China,63.71,66.68,68.01,68.53
Colombia,64.14,67.15,68.29,68.96
Comoros,53.77,56.97,58.19,58.95
Congo,45.35,53.03,54.9,56.25
Costa Rica,68.04,69.19,70.04,69.97
Côte d’Ivoire,43.96,49.46,52.52,54.81
Croatia,65.43,67.31,67.9,68.62
Cuba,67.12,67.95,68.05,67.84
Cyprus,69.13,70.79,71.63,72.41
Czechia,65.94,67.74,68.29,68.79
Democratic People's Republic of Korea,57.75,62.98,64.3,65.01
Dem. Rep. Congo,45.26,49.88,52.43,54.09
Denmark,67.57,69.42,70.53,71.04
Djibouti,52.73,54.59,57,58
Dominican Republic,64.1,64.38,63.21,63.98
Ecuador,65.25,65.8,67.49,68.48
